缺陷No.,单元ID,单元名称,类别No.,类别名称,图像文件名,重心Y,重心X,面积,体积,最大浓淡等级,平均浓淡等级,明暗,主轴长,副轴长,主轴角,针状度,周长,圆形度,等价椭圆主轴长,等价椭圆副轴长,等价椭圆主轴·副轴比,feret直径X,feret直径Y
1,2,"瑕疵",0,"未分类(类别01-19以外)","0000000001_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
2,2,"瑕疵",0,"未分类(类别01-19以外)","0000000002_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
3,2,"瑕疵",0,"未分类(类别01-19以外)","0000000003_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
4,2,"瑕疵",0,"未分类(类别01-19以外)","0000000004_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
5,2,"瑕疵",0,"未分类(类别01-19以外)","0000000005_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
6,2,"瑕疵",0,"未分类(类别01-19以外)","0000000006_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
7,2,"瑕疵",0,"未分类(类别01-19以外)","0000000007_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
8,2,"瑕疵",0,"未分类(类别01-19以外)","0000000008_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
9,2,"瑕疵",0,"未分类(类别01-19以外)","0000000009_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
10,2,"瑕疵",0,"未分类(类别01-19以外)","0000000010_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
11,2,"瑕疵",0,"未分类(类别01-19以外)","0000000011_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
12,2,"瑕疵",0,"未分类(类别01-19以外)","0000000012_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
13,2,"瑕疵",0,"未分类(类别01-19以外)","0000000013_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
14,2,"瑕疵",0,"未分类(类别01-19以外)","0000000014_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
15,2,"瑕疵",0,"未分类(类别01-19以外)","0000000015_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
16,2,"瑕疵",0,"未分类(类别01-19以外)","0000000016_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
17,2,"瑕疵",0,"未分类(类别01-19以外)","0000000017_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
18,2,"瑕疵",0,"未分类(类别01-19以外)","0000000018_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
19,2,"瑕疵",0,"未分类(类别01-19以外)","0000000019_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
20,2,"瑕疵",0,"未分类(类别01-19以外)","0000000020_00_000198_000823.bmp",+198.500,+823.500,16,,,,,,,,,,,,,,,
21,2,"瑕疵",0,"未分类(类别01-19以外)","0000000021_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
22,2,"瑕疵",0,"未分类(类别01-19以外)","0000000022_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
23,2,"瑕疵",0,"未分类(类别01-19以外)","0000000023_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
24,2,"瑕疵",0,"未分类(类别01-19以外)","0000000024_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
25,2,"瑕疵",0,"未分类(类别01-19以外)","0000000025_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
26,2,"瑕疵",0,"未分类(类别01-19以外)","0000000026_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
27,2,"瑕疵",0,"未分类(类别01-19以外)","0000000027_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
28,2,"瑕疵",0,"未分类(类别01-19以外)","0000000028_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
29,2,"瑕疵",0,"未分类(类别01-19以外)","0000000029_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
30,2,"瑕疵",0,"未分类(类别01-19以外)","0000000030_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
31,2,"瑕疵",0,"未分类(类别01-19以外)","0000000031_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
32,2,"瑕疵",0,"未分类(类别01-19以外)","0000000032_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
33,2,"瑕疵",0,"未分类(类别01-19以外)","0000000033_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
34,2,"瑕疵",0,"未分类(类别01-19以外)","0000000034_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
35,2,"瑕疵",0,"未分类(类别01-19以外)","0000000035_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
36,2,"瑕疵",0,"未分类(类别01-19以外)","0000000036_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
37,2,"瑕疵",0,"未分类(类别01-19以外)","0000000037_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
38,2,"瑕疵",0,"未分类(类别01-19以外)","0000000038_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
39,2,"瑕疵",0,"未分类(类别01-19以外)","0000000039_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
40,2,"瑕疵",0,"未分类(类别01-19以外)","0000000040_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
41,2,"瑕疵",0,"未分类(类别01-19以外)","0000000041_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
42,2,"瑕疵",0,"未分类(类别01-19以外)","0000000042_00_000460_001009.bmp",+460.286,+1009.488,24080,,,,,,,,,,,,,,,
43,2,"瑕疵",0,"未分类(类别01-19以外)","0000000043_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
44,2,"瑕疵",0,"未分类(类别01-19以外)","0000000044_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
45,2,"瑕疵",0,"未分类(类别01-19以外)","0000000045_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
46,2,"瑕疵",0,"未分类(类别01-19以外)","0000000046_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
47,2,"瑕疵",0,"未分类(类别01-19以外)","0000000047_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
48,2,"瑕疵",0,"未分类(类别01-19以外)","0000000048_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
49,2,"瑕疵",0,"未分类(类别01-19以外)","0000000049_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
50,2,"瑕疵",0,"未分类(类别01-19以外)","0000000050_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
51,2,"瑕疵",0,"未分类(类别01-19以外)","0000000051_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
52,2,"瑕疵",0,"未分类(类别01-19以外)","0000000052_00_000460_001009.bmp",+460.500,+1009.500,24064,,,,,,,,,,,,,,,
